feature,mean_absolute_shap_value
numeric__failed_login_count_7d,0.1435993693238327
numeric__avg_transaction_amount,0.12497403864287575
numeric__account_age_days,0.11132266818747832
numeric__support_tickets_90d,0.0767121857513203
numeric__credit_score,0.06588652347257011
numeric__total_spend,0.03890761477360308
numeric__transaction_count_30d,0.023476231229134545
numeric__monthly_charges,0.021430876500568904
categorical__device_type_Desktop,0.019853839695185903
categorical__country_USA,0.011115657703306832
categorical__country_Canada,0.004429905122712566
categorical__country_India,0.002183128998638134
categorical__country_Australia,0.001704566644023482
categorical__country_UK,0.0013543599879990026
categorical__device_type_Tablet,0.0005590332691324866
categorical__device_type_Mobile,0.00020731350981319916
